District,Latitude,Longitude,Population in 2001,Population in 2011
Anantapur,14.31206556,77.46015845,3640478,4081148
Chittoor,13.33109263,78.92763899,3745875,4174064
East Godavari,16.78271832,82.24320747,4901420,5154296
Guntur,15.88492577,80.58657614,4465144,4887813
Krishna,16.14387275,81.14805061,4187841,4517398
Kurnool,15.43759715,77.90086837,3529494,4053463
Prakasam,15.489039,80.1166579,3059423,3397448
Srikakulam,18.570901,84.25874814,2537593,2703114
Vizianagaram,18.28329696,83.45982854,2249254,2344474
West Godavari,16.63297944,81.45912991,3803517,3936966
Changlang,27.36048479,96.37552645,125422,148226
East Kameng,27.37119406,93.04741486,57179,78690
East Siang,28.15382353,95.06499226,87397,99214
Kurung Kumey,28.04853352,93.24531994,42518,92076
Lohit,27.94678527,96.59670771,124991,145726
Lower Dibang Valley,28.3265173,95.76567336,50448,54080
Lower Subansiri,27.70849297,93.96226108,55726,83030
Papum Pare,27.27352972,93.54468184,122003,176573
Tawang,27.68068396,91.82504245,38924,49977
Tirap,26.9440623,95.41470328,100326,111975
Upper Siang,28.83092449,95.00155765,33363,35320
Upper Subansiri,28.27719657,93.89914356,55346,83448
West Kameng,27.46486582,92.6501575,74599,83947
West Siang,28.10629692,94.53510344,103918,112274
Barpeta,26.42787226,90.9791201,1394755,1693622
Bongaigaon,26.45012522,90.67342962,612665,738804
Cachar,24.81557067,92.8684965,1444921,1736617
Darrang,26.58463216,92.04141338,759858,928500
Dhemaji,27.58653344,94.71336909,571944,686133
Dibrugarh,27.30612284,95.09982823,1185072,1326335
Goalpara,26.01727778,90.59869892,822035,1008183
Golaghat,26.37721971,93.82583398,946279,1066888
Hailakandi,24.45749609,92.59154665,542872,659296
Jorhat,26.76244824,94.30197723,999221,1092256
Kamrup,26.17093945,91.58863274,1311698,1517542
Karbi Anglong,26.08966455,93.1153657,813311,956313
Karimganj,24.69660712,92.36794986,1007976,1228686
Kokrajhar,26.49724664,90.13997471,843243,887142
Lakhimpur,27.14128806,94.07759493,889010,1042137
Nagaon,26.26462171,92.93061911,2314629,2823768
Nalbari,26.46323768,91.40598521,689053,771639
Sonitpur,26.73514927,92.85197805,1665125,1924110
Tinsukia,27.53549291,95.69055949,1150062,1327929
Araria,26.21152812,87.30766555,2158608,2811569
Aurangabad,24.77429187,84.45986024,2013055,2540073
Banka,24.83235564,86.86649163,1608773,2034763
Begusarai,25.54302613,86.12560144,2349366,2970541
Bhagalpur,25.27719289,87.04213814,2423172,3037766
Bhojpur,25.50666439,84.49407803,2243144,2728407
Buxar,25.48593019,84.08808082,1402396,1706352
Darbhanga,26.14618772,85.97387352,3295789,3937385
Gaya,24.72665415,84.94291218,3473428,4391418
Gopalganj,26.44874364,84.34636127,2152638,2562012
Jamui,24.7841838,86.26316298,1398796,1760405
Jehanabad,25.15567905,84.92081245,926191,1125313
Katihar,25.56565356,87.70466084,2392638,3071029
Khagaria,25.53558891,86.56593256,1280354,1666886
Kishanganj,26.32433676,87.95045007,1296348,1690400
Lakhisarai,25.18344932,86.12825701,802225,1000912
Madhepura,25.77341929,86.8978444,1526646,2001762
Madhubani,26.41380538,86.1632836,3575281,4487379
Munger,25.19853796,86.54173673,1137797,1367765
Muzaffarpur,26.18664417,85.32745092,3746714,4801062
Nalanda,25.22934551,85.48053114,2370528,2877653
Nawada,24.82570884,85.61594569,1809696,2219146
Patna,25.40297115,85.31984336,4718592,5838465
Purnia,25.81714802,87.40447607,2543942,3264619
Rohtas,24.99170461,83.93507627,2464243,2959918
Saharsa,25.8212707,86.5467082,1508182,1900661
Samastipur,25.79320556,85.94833323,3394793,4261566
Saran,25.89656078,84.82266287,3248701,3951862
Sheikhpura,25.12472437,85.77839391,525502,636342
Sheohar,26.45838075,85.29539412,515961,656246
Sitamarhi,26.5657007,85.61172491,2682720,3423574
Siwan,26.1736372,84.33766553,2714349,3330464
Supaul,26.28157894,86.78496465,1732578,2229076
Vaishali,25.81347032,85.39247597,2718421,3495021
Chandigarh,30.7426,76.75872466,900635,1055450
Bastar,19.39386675,81.52895127,1198067,1413199
Bilaspur,22.35694298,81.99770351,1998355,2663629
Dhamtari,20.55491263,81.75691955,706591,799781
Durg,21.19446385,81.3318164,2810436,3343872
Janjgir-Champa,21.96109375,82.80495409,1317431,1619707
Jashpur,22.77286168,83.87039621,743160,851669
Korba,22.4917125,82.57604327,1011823,1206640
Koriya,23.50412777,82.12515636,586327,658917
Mahasamund,21.22372704,82.65925427,860257,1032754
Raigarh,22.00826507,83.27797699,1265529,1493984
Raipur,20.88603154,82.2003276,3016930,4063872
Surguja,23.32719279,83.23582494,1972094,2359886
North Goa,15.54872342,73.80667998,758573,818008
South Goa,15.19527866,73.9417926,589095,640537
Amreli,21.04832649,71.43457638,1393918,1514190
Anand,22.28271821,72.57782052,1856872,2092745
Banas Kantha,24.25853897,71.93205253,2504244,3120506
Bharuch,21.75787276,72.67326347,1370656,1551019
Bhavnagar,21.7021939,72.16272633,2469630,2880365
Gandhinagar,23.19367979,72.6722168,1237168,1391753
Jamnagar,22.41060041,69.62062006,1904278,2160119
Junagadh,20.92952301,70.5473389,2448173,2743082
Kachchh,23.48057203,68.82192301,1583225,2092371
Kheda,22.88765313,73.01880352,2037894,2299885
Narmada,21.70666386,73.68403209,514404,590297
Navsari,20.86697332,72.8618487,1229463,1329672
Patan,23.80634198,71.75162977,1182709,1343734
Porbandar,21.55092352,69.71896988,536835,585449
Rajkot,22.40603378,70.83679439,3169881,3804558
Sabar Kantha,23.71803595,73.1363879,2082531,2428589
Surat,21.25761373,72.93488716,4275540,6081322
Surendranagar,22.82672007,71.48358741,1515148,1756268
The Dangs,20.80163388,73.68835184,186729,228291
Vadodara,22.26133739,73.4943301,3641802,4165626
Valsad,20.44238232,72.91485848,1410553,1705678
Ambala,30.35036723,76.94970311,1014411,1128350
Bhiwani,28.72886806,76.02110226,1425022,1634445
Faridabad,28.1487311,77.32718537,1365465,1809733
